[14/06/25, 18:19:55] Foto sito manforte: ‎I messaggi e le chiamate sono crittografati end-to-end. Solo le persone in questa chat possono leggerne, ascoltarne o condividerne il contenuto.
[14/06/25, 18:19:55] Ivy Manforte: ‎Ivy Manforte ha creato questo gruppo.
[15/06/25, 10:50:19] Foto sito manforte: ‎Ivy Manforte ti ha aggiunto.
‎[15/06/25, 10:50:42] Ivy Manforte: ‎<allegato: 00000004-PHOTO-2025-06-15-10-50-42.jpg>
‎[15/06/25, 10:50:42] Ivy Manforte: ‎<allegato: 00000005-PHOTO-2025-06-15-10-50-42.jpg>
‎[15/06/25, 10:50:43] Ivy Manforte: ‎<allegato: 00000006-PHOTO-2025-06-15-10-50-43.jpg>
‎[15/06/25, 10:50:43] Ivy Manforte: ‎<allegato: 00000007-PHOTO-2025-06-15-10-50-43.jpg>
‎[15/06/25, 10:50:43] Ivy Manforte: ‎<allegato: 00000008-PHOTO-2025-06-15-10-50-43.jpg>
‎[15/06/25, 10:50:43] Ivy Manforte: ‎<allegato: 00000009-PHOTO-2025-06-15-10-50-43.jpg>
‎[15/06/25, 10:50:43] Ivy Manforte: ‎<allegato: 00000010-PHOTO-2025-06-15-10-50-43.jpg>
‎[15/06/25, 10:50:44] Ivy Manforte: ‎<allegato: 00000011-PHOTO-2025-06-15-10-50-44.jpg>
‎[15/06/25, 10:50:44] Ivy Manforte: ‎<allegato: 00000012-PHOTO-2025-06-15-10-50-44.jpg>
‎[15/06/25, 10:50:44] Ivy Manforte: ‎<allegato: 00000013-PHOTO-2025-06-15-10-50-44.jpg>
‎[15/06/25, 10:50:44] Ivy Manforte: ‎<allegato: 00000014-PHOTO-2025-06-15-10-50-44.jpg>
‎[15/06/25, 10:50:44] Ivy Manforte: ‎<allegato: 00000015-PHOTO-2025-06-15-10-50-44.jpg>
‎[15/06/25, 10:50:45] Ivy Manforte: ‎<allegato: 00000016-PHOTO-2025-06-15-10-50-45.jpg>
‎[15/06/25, 10:50:45] Ivy Manforte: ‎<allegato: 00000017-PHOTO-2025-06-15-10-50-45.jpg>
‎[15/06/25, 10:50:45] Ivy Manforte: ‎<allegato: 00000018-PHOTO-2025-06-15-10-50-45.jpg>
‎[15/06/25, 10:50:55] Ivy Manforte: ‎<allegato: 00000019-PHOTO-2025-06-15-10-50-55.jpg>
‎[15/06/25, 10:50:55] Ivy Manforte: ‎<allegato: 00000020-PHOTO-2025-06-15-10-50-55.jpg>
‎[15/06/25, 10:50:56] Ivy Manforte: ‎<allegato: 00000021-PHOTO-2025-06-15-10-50-56.jpg>
‎[15/06/25, 10:50:56] Ivy Manforte: ‎<allegato: 00000022-PHOTO-2025-06-15-10-50-56.jpg>
‎[15/06/25, 10:50:56] Ivy Manforte: ‎<allegato: 00000023-PHOTO-2025-06-15-10-50-56.jpg>
‎[15/06/25, 10:50:56] Ivy Manforte: ‎<allegato: 00000024-PHOTO-2025-06-15-10-50-56.jpg>
‎[15/06/25, 10:50:56] Ivy Manforte: ‎<allegato: 00000025-PHOTO-2025-06-15-10-50-56.jpg>
‎[15/06/25, 10:51:11] Ivy Manforte: ‎<allegato: 00000026-PHOTO-2025-06-15-10-51-11.jpg>
‎[15/06/25, 10:53:06] Ivy Manforte: ‎<allegato: 00000027-PHOTO-2025-06-15-10-53-06.jpg>
‎[15/06/25, 10:53:06] Ivy Manforte: ‎<allegato: 00000028-PHOTO-2025-06-15-10-53-06.jpg>
‎[15/06/25, 10:53:06] Ivy Manforte: ‎<allegato: 00000029-PHOTO-2025-06-15-10-53-06.jpg>
‎[15/06/25, 10:53:06] Ivy Manforte: ‎<allegato: 00000030-PHOTO-2025-06-15-10-53-06.jpg>
‎[15/06/25, 10:53:06] Ivy Manforte: ‎<allegato: 00000031-PHOTO-2025-06-15-10-53-06.jpg>
‎[15/06/25, 10:53:07] Ivy Manforte: ‎<allegato: 00000032-PHOTO-2025-06-15-10-53-07.jpg>
‎[15/06/25, 10:53:07] Ivy Manforte: ‎<allegato: 00000033-PHOTO-2025-06-15-10-53-07.jpg>
‎[15/06/25, 10:53:07] Ivy Manforte: ‎<allegato: 00000034-PHOTO-2025-06-15-10-53-07.jpg>
‎[15/06/25, 10:53:08] Ivy Manforte: ‎<allegato: 00000035-PHOTO-2025-06-15-10-53-08.jpg>
‎[15/06/25, 10:53:08] Ivy Manforte: ‎<allegato: 00000036-PHOTO-2025-06-15-10-53-08.jpg>
‎[15/06/25, 10:53:08] Ivy Manforte: ‎<allegato: 00000037-PHOTO-2025-06-15-10-53-08.jpg>
‎[15/06/25, 10:53:08] Ivy Manforte: ‎<allegato: 00000038-PHOTO-2025-06-15-10-53-08.jpg>
‎[15/06/25, 10:53:08] Ivy Manforte: ‎<allegato: 00000039-PHOTO-2025-06-15-10-53-08.jpg>
‎[15/06/25, 10:53:09] Ivy Manforte: ‎<allegato: 00000040-PHOTO-2025-06-15-10-53-09.jpg>
‎[15/06/25, 10:53:09] Ivy Manforte: ‎<allegato: 00000041-PHOTO-2025-06-15-10-53-09.jpg>
‎[15/06/25, 10:53:09] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:13] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:14] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:17] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:18] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:19] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:21] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:21] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:22] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:23] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:25] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:26] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:28] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:29] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:32] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:33] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:34] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:34] Ivy Manforte: ‎<allegato: 00000059-PHOTO-2025-06-15-10-53-34.jpg>
‎[15/06/25, 10:53:35] Ivy Manforte: ‎<allegato: 00000060-PHOTO-2025-06-15-10-53-35.jpg>
‎[15/06/25, 10:53:35] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:35] Ivy Manforte: ‎<allegato: 00000062-PHOTO-2025-06-15-10-53-35.jpg>
‎[15/06/25, 10:53:35] Ivy Manforte: ‎<allegato: 00000063-PHOTO-2025-06-15-10-53-35.jpg>
‎[15/06/25, 10:53:36] Ivy Manforte: ‎video omesso
‎[15/06/25, 10:53:36] Ivy Manforte: ‎video omesso
[15/06/25, 11:02:36] Leonardo: Perfetto già ho qualcosa in più con cui lavorare
[15/06/25, 17:10:10] ~ Emi:
‎[15/06/25, 17:10:10] ~ Emi: ‎<allegato: 00000068-PHOTO-2025-06-15-17-10-10.jpg>
‎[15/06/25, 17:10:10] ~ Emi: ‎<allegato: 00000069-PHOTO-2025-06-15-17-10-10.jpg>
‎[15/06/25, 17:10:11] ~ Emi: ‎<allegato: 00000070-PHOTO-2025-06-15-17-10-11.jpg>
‎[15/06/25, 17:10:11] ~ Emi: ‎<allegato: 00000071-PHOTO-2025-06-15-17-10-11.jpg>
‎[15/06/25, 17:10:46] ~ Emi: ‎<allegato: 00000072-PHOTO-2025-06-15-17-10-46.jpg>
‎[17/06/25, 17:59:07] ~ adriano: ‎<allegato: 00000073-PHOTO-2025-06-17-17-59-07.jpg>
‎[17/06/25, 17:59:07] ~ adriano: ‎<allegato: 00000074-PHOTO-2025-06-17-17-59-07.jpg>
‎[17/06/25, 17:59:08] ~ adriano: ‎<allegato: 00000075-PHOTO-2025-06-17-17-59-08.jpg>
‎[17/06/25, 17:59:08] ~ adriano: ‎<allegato: 00000076-PHOTO-2025-06-17-17-59-08.jpg>
‎[17/06/25, 18:01:33] ~ adriano: ‎<allegato: 00000077-PHOTO-2025-06-17-18-01-33.jpg>
‎[17/06/25, 18:01:33] ~ adriano: ‎<allegato: 00000078-PHOTO-2025-06-17-18-01-33.jpg>
‎[17/06/25, 18:01:33] ~ adriano: ‎<allegato: 00000079-PHOTO-2025-06-17-18-01-33.jpg>
‎[17/06/25, 18:12:03] ~ adriano: ‎<allegato: 00000080-PHOTO-2025-06-17-18-12-03.jpg>
‎[17/06/25, 18:12:38] ~ adriano: ‎<allegato: 00000081-PHOTO-2025-06-17-18-12-38.jpg>
‎[17/06/25, 18:12:39] ~ adriano: ‎<allegato: 00000082-PHOTO-2025-06-17-18-12-39.jpg>
